basename,topic_no,subtopic_no,topic,subtopic
L1.T11.Introduction.Modeling,1,11,Introduction,Modeling
L2.T12.Introduction.Language,2,12,Introduction,Language
L2.T13.Introduction.LogicalModeling,2,13,Introduction,LogicalModeling
L2.T14.Introduction.WhyLogic,2,14,Introduction,WhyLogic
L3.T21.SetTheory.Introduction,3,21,SetTheory,Introduction
L3.T22.SetTheory.BasicNotions,3,22,SetTheory,BasicNotions
L3.T23.SetTheory.Relations,3,23,SetTheory,Relations
L3.T24.SetTheory.Functions,3,24,SetTheory,Functions
L3.T25.SetTheory.Exercises,3,25,SetTheory,Exercises
L3.T31.PL.Intuition,3,31,PL,Intuition
L3.T32.PL.Language,3,32,PL,Language
L4.T33.PL.Satisfiability,4,33,PL,Satisfiability
L4.T34.PL.Validility.Unsat,4,34,PL,Validility
L4.T35.PL.LogCons.Equiv,4,35,PL,LogCons
L4.T36.PL.theories,4,36,PL,theories
L5.T41.PL.Reasoning.TruthTables.Summary,5,41,PL,Reasoning
L5.T42.PL.Reasoning.TruthTables.DecisionProblems,5,42,PL,Reasoning
L5.T43.PL.Reasoning.TruthTables.SATCNF,5,43,PL,Reasoning
L5.T44.PL.Reasoning.TruthTables.SATDPLL - Copia,5,44,PL,Reasoning
L5.T45.PL.Reasoning.TruthTables.MiniSat,5,45,PL,Reasoning
L6.T51.PL.Reasoning.Deduction,6,51,PL,Reasoning
L6.T52.PL.Reasoning.Hilbert.calculus,6,52,PL,Reasoning
L6.T53.PL.Reasoning.Tableau,6,53,PL,Reasoning
L7.T61.PL.exercises,7,61,PL,exercises
L7.T62.PL.DPLL.exercises,7,62,PL,DPLL
L8.T71.FOL.Intuition,8,71,FOL,Intuition
L8.T72.FOL.Language,8,72,FOL,Language
L8.T73.FOL.Interpretation.function,8,73,FOL,Interpretation
L9.T74.FOL.SAT.wrt.assignment,9,74,FOL,SAT
L9.T75.FOL.SAT2LE,9,75,FOL,SAT2LE
L9.T76.FOL.exercizes,9,76,FOL,exercizes
L9.T77.FOL.Finite.Domains,9,77,FOL,Finite
L9.T78.FOL.FOL.wrt.DB,9,78,FOL,FOL
L10.T81.FOL.Reasoning.Hilbert.calculus,10,81,FOL,Reasoning
L10.T82.FOL.Reasoning.Tableau,10,82,FOL,Reasoning
L10.T83.FOL.Reasoning.Tableau.corr.compl,10,83,FOL,Reasoning
L10.T84.FOL.Reasoning.Tableau.examples,10,84,FOL,Reasoning
L10.T85.FOL.Reasoning.Tableau.termination,10,85,FOL,Reasoning
L10.T86.FOL.Reasoning.Tableau.countermodels,10,86,FOL,Reasoning
L11.T9.FOL.exercises,11,9,FOL,exercises
L12.T101.ML.Intuition,12,101,ML,Intuition
L12.T102.ML.language,12,102,ML,language
L12.T103.ML.SAT,12,103,ML,SAT
L12.T104.ML.VAL2LE,12,104,ML,VAL2LE
L13.T111.ML-K.More.ModalK,13,111,ML-K,More
L13.T112.ML-K.More.Acces.relation,13,112,ML-K,More
L13.T113.ML-K.More.ModalKT,13,113,ML-K,More
L13.T114.ML-K.More.ModalKB,13,114,ML-K,More
L14.T115.ML-K.More.ModalKD,14,115,ML-K,More
L14.T116.ML-K.More.ModalKT4,14,116,ML-K,More
L14.T117.ML-K.More.ModalKT5,14,117,ML-K,More
L15.T118.ML-K.More.MML,15,118,ML-K,More
L15.T119.ML-K.More.MMLKB,15,119,ML-K,More
L15.T121.Reasoning.Tableau,15,121,Reasoning,Tableau
L16.T13.ML.exercises,16,13,ML,exercises
L17.T141.DL.Introduction.Intuition,17,141,DL,Introduction
L17.T142.DL.Introduction.2KG,17,142,DL,Introduction
L17.T143.DL.Introduction.DL,17,143,DL,Introduction
L18.T151.DL.TBox-ABox.Families,18,151,DL,TBox-ABox
L18.T152.DL.TBox-ABox.TBox.synt.sem,18,152,DL,TBox-ABox
L18.T153.DL.TBox-ABox.Terminology,18,153,DL,TBox-ABox
L19.T154.DL.TBox-ABox.TBox.reasoning,19,154,DL,TBox-ABox
L19.T155.DL.TBox-ABox.ABox.synt.sem,19,155,DL,TBox-ABox
L19.T156.DL.TBox-ABox.ABox.reasoning,19,156,DL,TBox-ABox
L19.T157.DL.TBox-ABox.CWA,19,157,DL,TBox-ABox
L20.T191.DL.Tableaux.Reasoning.Intuition,20,191,DL,Tableaux
L20.T192.DL.Tableaux.Reasoning.Recap,20,192,DL,Tableaux
L20.T193.DL.Tableaux.Reasoning,20,193,DL,Tableaux
L20.T194.DL.Tableaux.Reasoning.TBox-examples,20,194,DL,Tableaux
L20.T195.DL.Tableaux.Reasoning.ABox-examples,20,195,DL,Tableaux
L21.T201.DL.Applications.DB,21,201,DL,Applications
L21.T202.DL.Applications.ERModels,21,202,DL,Applications
L21.T203.DL.Applications.KG,21,203,DL,Applications
L22.T21.DL.Exercises,22,21,DL,Exercises
