date,week,slot,content
2020-09-14T14:30,1,1,"Rules, Resources"
2020-09-15T09:00,1,2,
2020-09-21T14:30,2,3,"1,2"
2020-09-22T09:00,2,4,"1,2"
2020-09-28T14:30,3,5,"3,4"
2020-09-29T09:00,3,6,"3,4"
2020-10-05T14:30,4,7,"5,6"
2020-10-06T09:00,4,8,"5,6"
2020-10-12T14:30,5,9,"7,8"
2020-10-13T09:00,5,10,"7,8"
2020-10-19T14:30,6,11,"9,10"
2020-10-20T09:00,6,12,"9,10"
2020-10-26T14:30,7,13,Mid term
2020-10-27T09:00,7,14,
2020-11-02T14:30,8,15,"11,12"
2020-11-03T09:00,8,16,"11,12"
2020-11-09T14:30,9,17,"13,14"
2020-11-10T09:00,9,18,"13,14"
2020-11-16T14:30,10,19,"15,16"
2020-11-17T09:00,10,20,"15,16"
2020-11-23T14:30,11,21,"17,18"
2020-11-24T09:00,11,22,"17,18"
2020-11-30T14:30,12,23,"19,20"
2020-12-01T09:00,12,24,"19,20"
2020-12-07T14:30,13,25,"21,22"
2020-12-08T09:00,13,26,"21,22"
2020-12-14T14:30,14,27,Q&A
2020-12-15T09:00,14,28,Mid term
